counter txid numreads length
630 FBtr0070422 146 1759
631 FBtr0332898 200 2606
632 FBtr0332899 158 2877
633 FBtr0078679 214 3384
634 FBtr0078678 0 1360
635 FBtr0070466 0 2847
636 FBtr0075415 158 2220
637 FBtr0070460 0 1782
638 FBtr0070461 0 609
639 FBtr0070462 0 1543
640 FBtr0078670 0 1592
641 FBtr0078672 0 2281
642 FBtr0078675 138 1860
643 FBtr0078674 0 2280
644 FBtr0078677 218 3343
645 FBtr0078676 0 1044
646 FBtr0085749 58 1032
647 FBtr0075410 118 1771
648 FBtr0071599 304 4900
649 FBtr0085748 0 530
650 FBtr0075411 116 1700
651 FBtr0071593 24 378
652 FBtr0071592 0 328
653 FBtr0071591 212 2553
654 FBtr0071590 124 2310
655 FBtr0304856 0 4270
656 FBtr0304855 250 3337
657 FBtr0304854 0 2241
658 FBtr0304853 0 17148
659 FBtr0304852 0 17813
660 FBtr0304851 0 13661
661 FBtr0304850 1000 17845
662 FBtr0081840 190 2396
663 FBtr0304859 0 3802
664 FBtr0304858 0 3987
665 FBtr0081846 0 1327
666 FBtr0084835 160 2065
667 FBtr0081844 0 1391
668 FBtr0081845 102 1384
669 FBtr0084838 284 4806
670 FBtr0084839 0 1280
671 FBtr0076108 0 1622
672 FBtr0071339 0 1277
673 FBtr0302092 0 5296
674 FBtr0071333 0 2811
675 FBtr0076100 18 285
676 FBtr0076103 0 1247
677 FBtr0076102 0 1275
678 FBtr0076105 78 1181
679 FBtr0076104 0 1237
680 FBtr0076107 62 967
681 FBtr0076106 0 2967
682 FBtr0079108 0 148
683 FBtr0079109 0 1804
684 FBtr0330636 0 1221
685 FBtr0330637 130 1662
686 FBtr0330630 0 5116
687 FBtr0330631 258 4857
688 FBtr0330632 0 2891
689 FBtr0330633 90 2891
690 FBtr0079100 0 3127
691 FBtr0079101 72 1216
692 FBtr0079102 0 1529
693 FBtr0079103 50 919
694 FBtr0079104 0 1179
695 FBtr0330639 40 586
696 FBtr0079106 264 3251
697 FBtr0077854 60 935
698 FBtr0073986 138 2183
699 FBtr0077850 356 4874
700 FBtr0077851 234 4261
701 FBtr0077852 0 1719
702 FBtr0077853 0 5389
703 FBtr0073987 114 2168
704 FBtr0290024 64 890
705 FBtr0290025 290 4841
706 FBtr0290026 0 5282
707 FBtr0290020 0 1913
708 FBtr0290021 0 1281
709 FBtr0290022 42 639
710 FBtr0290023 238 3611
711 FBtr0299540 0 1264
712 FBtr0074176 56 820
713 FBtr0299542 0 599
714 FBtr0299543 88 1367
715 FBtr0299544 0 4377
716 FBtr0299546 204 3463
717 FBtr0299547 0 3631
718 FBtr0299548 0 6181
719 FBtr0299549 0 8849
720 FBtr0074174 0 2034
721 FBtr0077278 44 654
722 FBtr0077279 0 2472
723 FBtr0074175 0 1658
724 FBtr0074172 260 2831
725 FBtr0077272 54 899
726 FBtr0077273 158 2498
727 FBtr0077274 44 2531
728 FBtr0077275 140 2416
729 FBtr0077276 56 2331
730 FBtr0074173 160 2926
731 FBtr0073982 0 3255
732 FBtr0074170 308 2755
733 FBtr0074171 0 2863
734 FBtr0073980 0 3096
735 FBtr0072738 0 2486
736 FBtr0072739 0 2529
737 FBtr0072732 42 785
738 FBtr0072733 194 3871
739 FBtr0072730 0 1718
740 FBtr0072731 0 692
741 FBtr0072736 0 5382
742 FBtr0072737 330 5610
743 FBtr0072734 0 1187
744 FBtr0072735 366 5390
745 FBtr0073981 0 3358
746 FBtr0074778 296 4422
747 FBtr0071081 0 769
748 FBtr0332468 0 3460
749 FBtr0074774 118 2068
750 FBtr0332466 0 3460
751 FBtr0332465 0 2615
752 FBtr0332464 0 7780
753 FBtr0332463 452 5871
754 FBtr0332462 0 4953
755 FBtr0332461 0 5804
756 FBtr0332460 130 2291
757 FBtr0071083 276 3876
758 FBtr0087901 0 72
759 FBtr0087900 0 72
760 FBtr0087903 0 1079
761 FBtr0087902 102 1252
762 FBtr0087905 0 2809
763 FBtr0087904 392 5934
764 FBtr0087907 0 3082
765 FBtr0087906 196 2796
766 FBtr0332283 178 1836
767 FBtr0332282 0 1858
768 FBtr0332281 64 1140
769 FBtr0332280 0 986
770 FBtr0332287 0 3620
771 FBtr0332286 0 6527
772 FBtr0332285 0 4744
773 FBtr0074197 288 4421
774 FBtr0075823 58 1070
775 FBtr0075822 84 1325
776 FBtr0075821 0 1274
777 FBtr0075820 0 2045
778 FBtr0075825 0 1097
779 FBtr0075824 66 918
780 FBtr0075829 0 72
781 FBtr0075828 0 72
782 FBtr0080485 0 2497
783 FBtr0080484 0 3194
784 FBtr0080487 0 1042
785 FBtr0080486 0 192
786 FBtr0080481 54 838
787 FBtr0080480 38 578
788 FBtr0080483 60 922
789 FBtr0080482 28 501
790 FBtr0080489 0 4365
791 FBtr0080488 336 5882
792 FBtr0081688 0 623
793 FBtr0081689 78 1097
794 FBtr0081681 48 903
795 FBtr0081682 0 1834
796 FBtr0081684 0 6552
797 FBtr0081685 506 6744
798 FBtr0081686 458 6651
799 FBtr0081687 0 855
800 FBtr0089086 332 5630
801 FBtr0089084 0 4190
802 FBtr0089085 214 3691
803 FBtr0089082 294 4142
804 FBtr0089083 272 4068
805 FBtr0089080 0 2339
806 FBtr0081532 46 792
807 FBtr0081531 0 2082
808 FBtr0081536 0 73
809 FBtr0081534 58 1240
810 FBtr0081535 0 73
811 FBtr0081538 0 1977
812 FBtr0084339 0 1491
813 FBtr0084338 0 1112
814 FBtr0084337 242 4037
815 FBtr0084336 68 1228
816 FBtr0084335 0 2726
817 FBtr0084334 186 2669
818 FBtr0084333 0 1249
819 FBtr0084331 0 2328
820 FBtr0084330 196 2919
821 FBtr0076844 0 1761
822 FBtr0076845 0 2090
823 FBtr0076846 192 1934
824 FBtr0076847 0 2944
825 FBtr0076841 136 1840
826 FBtr0076842 0 1650
827 FBtr0076843 116 1787
828 FBtr0076848 84 1268
829 FBtr0076849 136 2080
830 FBtr0084481 90 1322
831 FBtr0084480 184 2592
832 FBtr0084482 0 83
833 FBtr0084487 0 164
834 FBtr0084486 146 2121
835 FBtr0084488 0 164
836 FBtr0076145 0 285
837 FBtr0076144 20 312
838 FBtr0083596 180 2643
839 FBtr0083597 136 2040
840 FBtr0083594 98 1422
841 FBtr0083595 0 3291
842 FBtr0083592 212 3662
843 FBtr0083593 52 615
844 FBtr0083590 276 3633
845 FBtr0083591 0 3643
846 FBtr0076146 0 3265
847 FBtr0087688 0 73
848 FBtr0087686 154 2236
849 FBtr0087687 120 1743
850 FBtr0087684 0 1841
851 FBtr0087685 0 2172
852 FBtr0087682 0 1851
853 FBtr0087683 202 3426
854 FBtr0087681 0 2007
855 FBtr0332849 136 2388
856 FBtr0332848 0 1412
857 FBtr0080139 0 1272
858 FBtr0332840 0 2131
859 FBtr0308747 0 600
860 FBtr0308746 0 596
861 FBtr0308745 38 591
862 FBtr0308744 0 472
863 FBtr0089908 0 1194
864 FBtr0308749 0 423
865 FBtr0308748 58 755
866 FBtr0309298 0 2038
867 FBtr0309299 114 1773
868 FBtr0089906 0 5181
869 FBtr0309292 126 2199
870 FBtr0309293 124 2058
871 FBtr0309290 0 1393
872 FBtr0309291 0 2813
873 FBtr0309296 0 1734
874 FBtr0309297 0 1790
875 FBtr0309294 116 1727
876 FBtr0309295 0 1634
877 FBtr0086227 0 4575
878 FBtr0086226 88 1996
879 FBtr0086225 144 2075
880 FBtr0086222 86 1337
881 FBtr0086221 152 2173
882 FBtr0086220 0 2122
883 FBtr0086229 0 1917
884 FBtr0081949 0 609
885 FBtr0081948 80 1159
886 FBtr0078479 0 3682
887 FBtr0078478 0 1543
888 FBtr0078477 0 2868
889 FBtr0081942 66 1266
890 FBtr0081941 126 1545
891 FBtr0078474 0 1450
892 FBtr0078473 0 920
893 FBtr0081946 0 3269
894 FBtr0081945 0 3327
895 FBtr0081944 0 3451
896 FBtr0303845 204 2015
897 FBtr0303844 0 4914
898 FBtr0303847 274 4420
899 FBtr0303846 68 1250
900 FBtr0303841 0 1293
901 FBtr0303840 0 1221
902 FBtr0303843 0 5181
903 FBtr0303842 0 5134
904 FBtr0303849 192 2904
905 FBtr0303848 296 5005
906 FBtr0303599 0 3919
907 FBtr0303591 0 405
908 FBtr0070218 164 2689
909 FBtr0087354 0 1752
910 FBtr0091719 0 1547
911 FBtr0306300 0 345
912 FBtr0091717 92 4148
913 FBtr0091716 0 6324
914 FBtr0091711 210 3010
915 FBtr0091710 220 3563
916 FBtr0087357 0 7150
917 FBtr0087350 0 1598
918 FBtr0087351 0 1820
919 FBtr0087352 168 1832
920 FBtr0309873 0 2163
921 FBtr0087353 0 2266
922 FBtr0303339 0 2986
923 FBtr0303338 0 2784
924 FBtr0303337 0 2945
925 FBtr0303336 0 2704
926 FBtr0303335 102 1708
927 FBtr0303334 0 1714
928 FBtr0305658 0 2527
929 FBtr0305659 0 2797
930 FBtr0305656 0 1318
931 FBtr0305657 0 5253
932 FBtr0305654 0 1503
933 FBtr0305655 0 752
934 FBtr0305652 0 3611
935 FBtr0305653 0 3734
936 FBtr0305650 22 486
937 FBtr0305651 0 3480
938 FBtr0300026 104 1116
939 FBtr0300024 0 1683
940 FBtr0300025 78 1143
941 FBtr0300023 0 1541
942 FBtr0300020 0 3383
943 FBtr0300021 0 948
944 FBtr0300028 0 343
945 FBtr0300512 400 3544
