geneID transcriptID
76 GLTPD1 NM_001029885
77 TAS1R3 NM_152228
78 DVL1 NM_004421
79 MIR6808 NR_106866
80 MXRA8 NM_001282585
81 MXRA8 NM_032348
82 MXRA8 NM_001282583
83 MXRA8 NM_001282582
84 MXRA8 NM_001282584
85 AURKAIP1 NM_017900
86 AURKAIP1 NM_001127229
87 AURKAIP1 NM_001127230
88 CCNL2 NM_030937
89 CCNL2 NM_001039577
90 LOC148413 NR_015434
91 MRPL20 NM_017971
92 ANKRD65 NM_001145210
93 ANKRD65 NM_001243535
94 ANKRD65 NM_001243536
95 TMEM88B NM_001146685
96 VWA1 NM_199121
97 VWA1 NM_022834
98 ATAD3C NM_001039211
99 ATAD3B NM_031921
100 ATAD3A NM_018188
101 ATAD3A NM_001170535
102 ATAD3A NM_001170536
103 TMEM240 NM_001114748
104 SSU72 NM_014188
105 C1orf233 NM_001242659
106 MIB2 NM_001170687
107 MIB2 NM_080875
108 MIB2 NM_001170686
109 MIB2 NM_001170688
110 MIB2 NR_033183
111 MIB2 NM_001170689
112 MMP23B NM_006983
113 MMP23A NR_002946
114 CDK11B NM_033486
115 CDK11B NM_001787
116 CDK11B NM_033490
117 CDK11B NM_033489
118 CDK11B NM_001291345
119 CDK11B NM_033487
120 SLC35E2B NM_001290264
121 SLC35E2B NM_001110781
122 MMP23A NR_002946_1
123 CDK11A NM_033529
124 CDK11A NM_024011
125 SLC35E2 NM_001199787
126 SLC35E2 NM_182838
127 NADK NM_023018
128 NADK NM_001198995
129 NADK NM_001198994
130 NADK NM_001198993
131 GNB1 NM_001282539
132 GNB1 NM_001282538
133 GNB1 NM_002074
134 CALML6 NM_138705
135 TMEM52 NM_178545
136 KIAA1751 NM_001080484
137 GABRD NM_000815
138 PRKCZ NM_002744
139 PRKCZ NM_001033581
140 PRKCZ NM_001242874
141 PRKCZ NM_001033582
142 C1orf86 NM_001282671
143 C1orf86 NM_001282672
144 C1orf86 NM_001146310
145 C1orf86 NM_001256945
146 C1orf86 NM_001282673
147 C1orf86 NR_046427
148 C1orf86 NM_001282670
149 C1orf86 NM_001256947
150 C1orf86 NM_182533
151 C1orf86 NM_001256946
152 SKI NM_003036
153 MORN1 NM_024848
154 LOC100129534 NR_024489
155 RER1 NM_007033
156 PEX10 NM_153818
157 PEX10 NM_002617
158 PLCH2 NM_014638
159 PANK4 NM_018216
160 HES5 NM_001010926
161 LOC115110 NR_026927
162 LOC100133445 NR_037844
163 TNFRSF14 NM_003820
164 FAM213B NR_036637
165 FAM213B NR_036638
166 FAM213B NM_001195736
167 FAM213B NM_001195741
168 FAM213B NM_001195740
169 FAM213B NM_001195737
170 FAM213B NM_152371
171 FAM213B NM_001195738
172 MMEL1 NM_033467
173 TTC34 NM_001242672
174 ACTRT2 NM_080431
175 LINC00982 NR_015440
176 LINC00982 NR_024371
177 PRDM16 NM_199454
178 PRDM16 NM_022114
179 MIR4251 NR_036215
180 ARHGEF16 NM_014448
181 MEGF6 NM_001409
182 MIR551A NR_030277
183 TPRG1L NM_182752
184 WRAP73 NM_017818
185 TP73 NM_001204184
186 TP73 NM_001204187
187 TP73 NM_001204188
188 TP73 NM_001204185
189 TP73 NM_001204186
190 TP73 NM_005427
191 TP73 NM_001204191
192 TP73 NM_001204189
193 TP73 NM_001126241
194 TP73 NM_001126240
195 TP73 NM_001204190
196 TP73 NM_001126242
197 TP73 NM_001204192
198 TP73-AS1 NR_033712
199 TP73-AS1 NR_033708
200 TP73-AS1 NR_033709
201 TP73-AS1 NR_033710
202 TP73-AS1 NR_033711
203 CCDC27 NM_152492
204 SMIM1 NM_001288583
205 SMIM1 NM_001163724
206 LRRC47 NM_020710
207 CEP104 NM_014704
208 DFFB NR_104222
209 DFFB NM_004402
210 DFFB NM_001282669
211 C1orf174 NM_207356
212 LINC01134 NR_024455
213 LINC01346 NR_040065
214 LOC284661 NR_027088
215 AJAP1 NM_001042478
216 AJAP1 NM_018836
217 MIR4417 NR_039612
218 MIR4689 NR_039838
219 NPHP4 NM_015102
220 NPHP4 NR_111987
221 NPHP4 NM_001291594
222 NPHP4 NM_001291593
223 KCNAB2 NM_001199861
224 KCNAB2 NM_003636
225 KCNAB2 NM_172130
226 KCNAB2 NM_001199860
227 KCNAB2 NM_001199862
228 KCNAB2 NM_001199863
229 CHD5 NM_015557
230 RPL22 NM_000983
231 RNF207 NM_207396
232 ICMT NM_012405
233 LINC00337 NR_103534
234 HES3 NM_001024598
235 GPR153 NM_207370
236 ACOT7 NM_181864
237 ACOT7 NM_181865
238 ACOT7 NM_181866
239 ACOT7 NM_007274
240 HES2 NM_019089
241 ESPN NM_031475
242 MIR4252 NR_036218
243 TNFRSF25 NM_148970
244 TNFRSF25 NM_148967
245 TNFRSF25 NM_148966
246 TNFRSF25 NM_003790
247 TNFRSF25 NM_148965
248 TNFRSF25 NM_001039664
249 PLEKHG5 NM_001042663
250 PLEKHG5 NM_198681
251 PLEKHG5 NM_020631
252 PLEKHG5 NM_001265592
253 PLEKHG5 NM_001042664
254 PLEKHG5 NM_001265594
255 PLEKHG5 NM_001042665
256 PLEKHG5 NM_001265593
257 NOL9 NM_024654
258 TAS1R1 NM_138697
259 TAS1R1 NM_177540
260 ZBTB48 NM_001278647
261 ZBTB48 NM_001278648
262 ZBTB48 NM_005341
263 KLHL21 NM_014851
264 PHF13 NM_153812
265 THAP3 NM_001195753
266 THAP3 NM_001195752
267 THAP3 NM_138350
268 DNAJC11 NM_018198
269 LOC100505887 NR_104620
270 LOC100505887 NR_104621
271 CAMTA1 NR_038934
272 CAMTA1 NM_015215
273 CAMTA1 NM_001242701
274 CAMTA1 NM_001195563
275 VAMP3 NM_004781
276 PER3 NM_016831
277 PER3 NM_001289863
278 PER3 NM_001289864
279 PER3 NM_001289862
280 PER3 NM_001289861
281 UTS2 NM_021995
282 UTS2 NM_006786
283 TNFRSF9 NM_001561
284 PARK7 NM_001123377
285 PARK7 NM_007262
286 ERRFI1 NM_018948
287 SLC45A1 NM_001080397
288 RERE NM_001042682
289 RERE NM_012102
290 RERE NM_001042681
291 ENO1 NM_001201483
292 ENO1 NM_001428
293 MIR6728 NR_106786
294 ENO1-AS1 NR_038351
295 CA6 NM_001270502
296 CA6 NM_001270501
297 CA6 NM_001270500
298 CA6 NM_001215
299 SLC2A7 NM_207420
300 SLC2A5 NM_003039
301 SLC2A5 NM_001135585
302 GPR157 NM_024980
303 MIR34A NR_029610
304 H6PD NM_004285
305 H6PD NM_001282587
306 SPSB1 NM_025106
307 LOC100506022 NR_104623
308 LOC100506022 NR_104622
309 SLC25A33 NM_032315
310 TMEM201 NM_001010866
311 TMEM201 NM_001130924
312 PIK3CD NM_005026
313 C1orf200 NR_027045
314 CLSTN1 NM_001009566
315 CLSTN1 NM_014944
316 CTNNBIP1 NM_001012329
317 CTNNBIP1 NM_020248
318 LZIC NM_032368
319 NMNAT1 NM_022787
320 RBP7 NM_052960
321 UBE4B NM_006048
322 UBE4B NM_001105562
323 KIF1B NM_015074
324 KIF1B NM_183416
325 PGD NM_002631
326 APITD1-CORT NM_001270517
327 APITD1-CORT NM_199006
328 APITD1-CORT NM_198544
329 APITD1 NM_199294
330 APITD1-CORT NM_001243768
331 APITD1-CORT NR_037187
332 APITD1 NR_036462
333 CORT NM_001302
334 DFFA NM_004401
335 DFFA NM_213566
336 PEX14 NM_004565
337 CASZ1 NM_001079843
338 CASZ1 NM_017766
339 C1orf127 NM_001170754
340 TARDBP NM_007375
341 MASP2 NM_006610
342 MASP2 NM_139208
343 SRM NM_003132
344 EXOSC10 NM_002685
345 EXOSC10 NM_001001998
346 MTOR NM_004958
347 MTOR-AS1 NR_046600
348 ANGPTL7 NM_021146
349 UBIAD1 NM_013319
350 PTCHD2 NM_020780
351 LOC101929181 NR_104624
352 FBXO2 NM_012168
353 FBXO44 NM_183412
354 FBXO44 NM_033182
355 FBXO44 NM_183413
356 FBXO44 NM_001014765
357 FBXO6 NM_018438
358 MAD2L2 NM_006341
359 MAD2L2 NM_001127325
360 DRAXIN NM_198545
361 AGTRAP NM_020350
362 AGTRAP NM_001040196
363 AGTRAP NM_001040197
364 AGTRAP NM_001040195
365 AGTRAP NM_001040194
366 C1orf167 NM_001010881
367 MTHFR NM_005957
368 CLCN6 NM_001286
369 CLCN6 NR_046428
370 CLCN6 NM_001256959
371 NPPA-AS1 NR_037806
372 NPPA NM_006172
373 NPPB NM_002521
374 KIAA2013 NM_138346
375 PLOD1 NM_000302
376 MFN2 NM_014874
377 MFN2 NM_001127660
378 MIIP NM_021933
379 MIR6729 NR_106787
380 TNFRSF8 NM_001243
381 TNFRSF8 NM_001281430
382 MIR7846 NR_107000
383 TNFRSF1B NM_001066
384 MIR4632 NR_039775
385 VPS13D NM_018156
386 VPS13D NM_015378
387 SNORA59B NR_003022
388 SNORA59A NR_003025_1
389 DHRS3 NM_004753
390 MIR6730 NR_106788
391 AADACL4 NM_001013630
392 AADACL3 NM_001103170
393 AADACL3 NR_111984
394 C1orf158 NM_152290
395 PRAMEF12 NM_001080830
396 PRAMEF1 NM_023013
397 PRAMEF11 NM_001146344
398 LOC649330 NM_001146181
399 HNRNPCL1 NM_001013631
400 PRAMEF2 NM_023014
401 PRAMEF4 NM_001009611
402 PRAMEF8 NM_001012276
403 PRAMEF7 NM_001012277_2
404 PRAMEF6 NM_001010889_1
405 PRAMEF9 NM_001010890
406 LOC391003 NM_001099850_1
407 PRAMEF22 NM_001100631_1
408 PRAMEF5 NM_001013407
409 LOC645354 NR_111945
410 LOC649324 NR_111947
411 HNRNPCL2 NM_001136561
412 LOC645354 NR_111945_1
413 LOC649324 NR_111947_1
414 LOC391003 NM_001099850
415 PRAMEF22 NM_001100631
416 PRAMEF5 NM_001013407_1
417 PRAMEF6 NM_001010889
418 PRAMEF8 NM_001012276_2
419 PRAMEF7 NM_001012277_1
420 PRAMEF10 NM_001039361
421 LOC645382 NM_001291381
422 PRAMEF15 NM_001098376_1
423 LOC400736 NM_001291380
424 PRAMEF14 NM_001024661_1
425 PRAMEF19 NM_001099790_1
426 PRAMEF16 NM_001045480
427 PRAMEF17 NM_001099851
428 PRAMEF20 NM_001099852
429 PRAMEF8 NM_001012276_1
430 PRAMEF7 NM_001012277
431 PRAMEF10 NM_001039361_1
432 LOC645382 NM_001291381_1
433 PRAMEF15 NM_001098376
434 LOC400736 NM_001291380_1
435 PRAMEF14 NM_001024661
436 PRAMEF19 NM_001099790
437 PRAMEF17 NM_001099851_1
438 PRAMEF20 NM_001099852_1
439 LRRC38 NM_001010847
440 PDPN NM_198389
441 PDPN NM_006474
442 PDPN NM_001006624
443 PDPN NM_001006625
444 PRDM2 NM_001135610
445 PRDM2 NM_015866
446 PRDM2 NM_012231
447 PRDM2 NM_001007257
448 KAZN NM_201628
449 KAZN NM_015209
450 KAZN NM_001018000
451 KAZN NM_001018001
452 KAZN NM_001017999
453 TMEM51-AS1 NR_027136
454 TMEM51 NM_001136217
455 TMEM51 NM_001136216
456 TMEM51 NM_001136218
457 TMEM51 NM_018022
458 C1orf195 NM_001278502
459 C1orf195 NM_001278501
460 FHAD1 NM_052929
461 EFHD2 NM_024329
462 CTRC NM_007272
463 CELA2A NM_033440
464 CELA2B NM_015849
465 CASP9 NR_102732
466 CASP9 NM_032996
467 CASP9 NR_102733
468 CASP9 NM_001278054
469 CASP9 NM_001229
470 DNAJC16 NM_015291
471 DNAJC16 NR_109898
472 DNAJC16 NM_001287811
473 AGMAT NM_024758
474 DDI2 NM_032341
475 RSC1A1 NM_006511
476 PLEKHM2 NM_015164
477 SLC25A34 NM_207348
478 TMEM82 NM_001013641
479 FBLIM1 NM_017556
480 FBLIM1 NM_001024215
481 FBLIM1 NM_001024216
482 UQCRHL NM_001089591
483 FLJ37453 NR_024279
484 SPEN NM_015001
485 ZBTB17 NM_001287603
486 ZBTB17 NM_003443
487 ZBTB17 NM_001242884
488 ZBTB17 NM_001287604
489 C1orf64 NM_178840
490 HSPB7 NM_014424
491 CLCNKA NM_001042704
492 CLCNKA NM_004070
493 CLCNKA NM_001257139
494 CLCNKB NM_000085
495 CLCNKB NM_001165945
496 FAM131C NM_182623
497 EPHA2 NM_004431
498 ARHGEF19 NM_153213
499 RSG1 NM_030907
500 FBXO42 NM_018994
501 SZRD1 NM_001271869
502 SZRD1 NM_001114600
503 SZRD1 NR_073501
504 SZRD1 NR_073500
505 SZRD1 NR_073503
506 SZRD1 NR_073502
507 SPATA21 NM_198546
508 NECAP2 NM_001145278
509 NECAP2 NM_001145277
510 NECAP2 NM_018090
511 CROCCP3 NR_023386
512 MIR3675 NR_037446
513 NBPF1 NM_017940
514 CROCCP2 NR_026752
515 MST1P2 NR_027504
516 FAM231A NM_001282321
517 MIR3675 NR_037446_1
518 ESPNP NR_026567
519 FAM231A NM_001282321_1
520 MST1L NM_001271733
521 MIR3675 NR_037446_2
522 CROCC NM_014675
523 MFAP2 NM_001135248
524 MFAP2 NM_017459
525 MFAP2 NM_002403
526 MFAP2 NM_001135247
527 ATP13A2 NM_001141974
528 ATP13A2 NM_001141973
529 ATP13A2 NM_022089
530 SDHB NM_003000
531 PADI2 NM_007365
532 PADI1 NM_013358
533 PADI3 NM_016233
534 PADI4 NM_012387
535 PADI6 NM_207421
536 RCC2 NM_018715
537 RCC2 NM_001136204
538 ARHGEF10L NM_018125
539 ARHGEF10L NM_001011722
540 ACTL8 NM_030812
541 IGSF21 NM_032880
542 KLHDC7A NM_152375
543 PAX7 NM_002584
544 PAX7 NM_013945
545 PAX7 NM_001135254
546 TAS1R2 NM_152232
547 ALDH4A1 NM_170726
548 ALDH4A1 NM_003748
549 ALDH4A1 NM_001161504
550 MIR4695 NR_039844
551 IFFO2 NM_001136265
552 UBR4 NM_020765
553 EMC1 NM_015047
554 EMC1 NM_001271428
555 EMC1 NM_001271427
556 EMC1 NM_001271429
557 MRTO4 NM_016183
558 AKR7L NR_040288
559 AKR7L NR_040289
560 AKR7A3 NM_012067
561 LOC100506730 NR_037847
562 AKR7A2 NM_003689
563 PQLC2 NM_017765
564 PQLC2 NR_109848
565 PQLC2 NM_001040126
566 PQLC2 NM_001287531
567 PQLC2 NM_001040125
568 CAPZB NM_001206541
569 CAPZB NM_001206540
570 CAPZB NM_001282162
571 CAPZB NM_004930
572 MINOS1 NR_033757
573 MINOS1-NBL1 NM_001204088
574 MINOS1 NM_001204083
575 MINOS1 NR_033758
576 MINOS1-NBL1 NM_001204089
577 MINOS1 NM_001204082
578 MINOS1 NM_001032363
579 RPS14P3 NR_077246
580 NBL1 NM_001278164
581 NBL1 NM_182744
582 NBL1 NM_001278165
583 NBL1 NM_001204084
584 NBL1 NM_005380
585 NBL1 NM_001204085
586 NBL1 NM_001204086
587 NBL1 NM_001278166
588 HTR6 NM_000871
589 TMCO4 NM_181719
590 RNF186 NM_019062
591 OTUD3 NM_015207
592 PLA2G2E NM_014589
593 PLA2G2A NM_000300
594 PLA2G2A NM_001161729
595 PLA2G2A NM_001161728
596 PLA2G2A NM_001161727
597 PLA2G5 NM_000929
598 PLA2G2D NM_012400
599 PLA2G2D NM_001271814
600 PLA2G2F NM_022819
601 PLA2G2C NM_001105572
602 UBXN10-AS1 NR_110078
603 UBXN10 NM_152376
604 VWA5B1 NM_001039500
605 LINC01141 NR_033887
606 CAMK2N1 NM_018584
607 MUL1 NM_024544
608 FAM43B NM_207334
609 CDA NM_001785
610 PINK1 NM_032409
611 MIR6084 NR_106732
612 PINK1-AS NR_046507
613 DDOST NM_005216
614 KIF17 NM_001287212
615 KIF17 NM_020816
616 KIF17 NM_001122819
617 SH2D5 NM_001103161
618 SH2D5 NM_001103160
619 HP1BP3 NM_016287
620 EIF4G3 NM_001198801
621 EIF4G3 NM_003760
622 EIF4G3 NM_001198802
623 EIF4G3 NM_001198803
624 ECE1 NM_001113348
625 ECE1 NM_001113347
626 ECE1 NM_001113349
627 ECE1 NM_001397
628 LOC100506801 NR_038404
629 NBPF3 NM_001256417
630 NBPF3 NR_046176
631 NBPF3 NM_032264
632 NBPF3 NM_001256416
633 ALPL NM_001177520
634 ALPL NM_000478
635 ALPL NM_001127501
636 RAP1GAP NM_002885
637 RAP1GAP NM_001145657
638 RAP1GAP NM_001145658
639 USP48 NM_032236
640 USP48 NM_001032730
641 LDLRAD2 NM_001013693
642 HSPG2 NM_001291860
643 HSPG2 NM_005529
644 CELA3B NM_007352
645 CELA3A NM_005747
646 LOC101928043 NR_110692
647 LINC00339 NR_023918
648 LINC00339 NR_109761
649 LINC00339 NR_109759
650 LINC00339 NR_109760
651 LINC00339 NR_023919
652 LINC00339 NR_109762
653 CDC42 NM_001039802
654 CDC42 NM_001791
655 CDC42 NM_044472
656 WNT4 NM_030761
657 ZBTB40 NM_014870
658 ZBTB40 NM_001083621
659 EPHA8 NM_020526
660 EPHA8 NM_001006943
661 MIR6127 NR_106742
662 C1QA NM_015991
663 C1QC NM_172369
664 C1QC NM_001114101
665 C1QB NM_000491
666 EPHB2 NM_004442
667 EPHB2 NM_017449
668 MIR4684 NR_039832
669 MIR4253 NR_036214
670 LACTBL1 NM_001289974
671 C1orf234 NM_001242521
672 KDM1A NM_015013
673 KDM1A NM_001009999
674 MIR3115 NR_036057
675 LUZP1 NM_033631
676 LUZP1 NM_001142546
677 HTR1D NM_000864
678 LINC01355 NR_110616
679 HNRNPR NM_001102399
680 HNRNPR NM_001102398
681 HNRNPR NM_005826
682 HNRNPR NM_001102397
683 ZNF436 NM_030634
684 ZNF436 NM_001077195
685 C1orf213 NR_033690
686 C1orf213 NR_033691
687 TCEA3 NM_003196
688 ASAP3 NM_001143778
689 ASAP3 NM_017707
690 E2F2 NM_004091
691 LOC101928163 NR_110799
692 ID3 NM_002167
693 MDS2 NR_027042
694 RPL11 NM_000975
695 RPL11 NM_001199802
696 TCEB3 NM_003198
697 TCEB3-AS1 NR_038280
698 PITHD1 NM_020362
699 LYPLA2 NM_007260
700 GALE NM_001008216
701 GALE NM_000403
702 GALE NM_001127621
703 HMGCL NM_000191
704 HMGCL NM_001166059
705 FUCA1 NM_000147
706 CNR2 NM_001841
707 MIR378F NR_039615
708 PNRC2 NM_017761
709 SRSF10 NR_034035
710 SRSF10 NM_001191009_1
711 SRSF10 NM_006625
712 SRSF10 NM_001191007
713 SRSF10 NM_001191006
714 SRSF10 NM_054016
715 SRSF10 NM_001191005
716 MYOM3 NM_152372
717 IL22RA1 NM_021258
718 IFNLR1 NM_173064
719 IFNLR1 NM_173065
720 IFNLR1 NM_170743
721 LOC284632 NR_027087
722 GRHL3 NM_198173
723 GRHL3 NM_198174
724 GRHL3 NM_001195010
725 GRHL3 NM_021180
726 STPG1 NM_001199012
727 STPG1 NM_178122
728 STPG1 NM_001199013
729 STPG1 NM_001199014
730 NIPAL3 NM_020448
731 RCAN3AS NR_045408
732 RCAN3AS NR_045409
733 RCAN3AS NR_045407
734 RCAN3 NM_001251979
735 RCAN3 NM_001251984
736 RCAN3 NM_001251981
737 RCAN3 NM_001251977
738 RCAN3 NM_001251983
739 RCAN3 NM_013441
740 RCAN3 NM_001251978
741 RCAN3 NM_001251980
742 RCAN3 NM_001251985
743 RCAN3 NM_001251982
744 LOC100506985 NR_109781
745 NCMAP NM_001010980
746 SRRM1 NM_005839
747 CLIC4 NM_013943
748 RUNX3 NM_001031680
749 RUNX3 NM_004350
750 MIR6731 NR_106789
751 SYF2 NM_015484
752 SYF2 NM_207170
753 RSRP1 NM_020317
754 RHD NM_001282870
755 RHD NM_001282869
756 RHD NM_016124
757 RHD NM_001127691
758 RHD NM_001282867
759 RHD NM_001282868
760 RHD NM_001282871
761 RHD NM_001282872
762 TMEM50A NM_014313
763 RHCE NM_020485
764 RHCE NM_138617
765 RHCE NM_138618
766 RHCE NM_138616
767 TMEM57 NM_001282564
768 TMEM57 NM_018202
769 LDLRAP1 NM_015627
770 MAN1C1 NM_001289010
771 MAN1C1 NM_020379
772 SEPN1 NM_206926
773 SEPN1 NM_020451
774 MTFR1L NM_001099627
775 MTFR1L NM_001099625
776 LOC646471 NR_024498
777 MTFR1L NM_019557
778 MTFR1L NM_001099626
779 AUNIP NM_001287490
780 AUNIP NM_024037
781 PAQR7 NM_178422
782 STMN1 NM_001145454
783 STMN1 NM_203401
784 STMN1 NM_005563
785 STMN1 NM_203399
786 MIR3917 NR_037481
787 PAFAH2 NM_000437
788 EXTL1 NM_004455
789 SLC30A2 NM_001004434
790 SLC30A2 NM_032513
791 TRIM63 NM_032588
792 PDIK1L NM_001243532
793 PDIK1L NM_001243533
794 PDIK1L NM_152835
795 FAM110D NM_024869
796 ZNF593 NM_015871
797 CNKSR1 NM_006314
798 CNKSR1 NR_023345
799 CATSPER4 NM_198137
800 LOC101928303 NR_110698
801 CEP85 NM_001281517
802 CEP85 NM_022778
803 CEP85 NM_001281518
804 SH3BGRL3 NM_031286
805 UBXN11 NM_145345
806 UBXN11 NM_183008
807 UBXN11 NM_001077262
808 CD52 NM_001803
809 AIM1L NM_001039775
810 ZNF683 NM_173574
811 ZNF683 NM_001114759
812 LIN28A NM_024674
813 DHDDS NM_001243564
814 DHDDS NM_001243565
815 DHDDS NM_024887
816 DHDDS NM_205861
817 HMGN2 NM_005517
818 RPS6KA1 NM_002953
819 RPS6KA1 NM_001006665
820 MIR1976 NR_031740
821 ARID1A NM_006015
822 ARID1A NM_139135
823 PIGV NM_017837
824 PIGV NM_001202554
825 ZDHHC18 NM_032283
826 SFN NM_006142
827 GPN2 NM_018066
828 GPATCH3 NM_022078
829 NR0B2 NM_021969
830 NUDC NM_006600
831 KDF1 NM_152365
832 TRNP1 NM_001013642
833 FAM46B NM_052943
834 SLC9A1 NR_046474
835 SLC9A1 NM_003047
836 WDTC1 NM_001276252
837 WDTC1 NM_015023
838 TMEM222 NR_037580
839 TMEM222 NR_037577
840 TMEM222 NR_037576
841 TMEM222 NM_032125
842 LOC644961 NR_033926
843 SYTL1 NM_032872
844 SYTL1 NM_001193308
845 MAP3K6 NM_004672
846 FCN3 NM_003665
847 FCN3 NM_173452
848 CD164L2 NM_207397
849 GPR3 NM_005281
850 WASF2 NM_001201404
851 WASF2 NM_006990
852 AHDC1 NM_001029882
853 FGR NM_001042747
854 FGR NM_005248
855 FGR NM_001042729
856 IFI6 NM_002038
857 IFI6 NM_022873
858 IFI6 NM_022872
859 FAM76A NM_001143914
860 FAM76A NM_001143913
861 FAM76A NM_152660
862 FAM76A NM_001143915
863 FAM76A NM_001143912
864 STX12 NM_177424
865 PPP1R8 NM_014110
866 PPP1R8 NM_138558
867 PPP1R8 NM_002713
868 SCARNA1 NR_002997
869 THEMIS2 NM_001039477
870 THEMIS2 NM_001286113
871 THEMIS2 NM_004848
872 THEMIS2 NM_001105556
873 THEMIS2 NM_001286115
874 RPA2 NM_001286076
875 RPA2 NM_002946
876 SMPDL3B NM_014474
877 SMPDL3B NM_001009568
878 XKR8 NM_018053
879 EYA3 NM_001282561
880 EYA3 NM_001282562
881 EYA3 NM_001990
882 EYA3 NM_001282560
883 EYA3 NR_104214
884 PTAFR NM_001164723
885 PTAFR NM_001164721
886 PTAFR NM_001164722
887 PTAFR NM_000952
888 DNAJC8 NM_014280
889 ATPIF1 NM_178191
890 ATPIF1 NM_016311
891 ATPIF1 NM_178190
892 SESN2 NM_031459
893 MED18 NM_001127350
894 MED18 NM_017638
895 PHACTR4 NM_001048183
896 PHACTR4 NM_023923
897 RCC1 NM_001048199
898 SNHG3 NR_036473
899 RCC1 NR_030725
900 SNHG3 NR_002909
901 RCC1 NR_030726
902 RCC1 NM_001269
903 RCC1 NM_001048195
904 RCC1 NM_001048194
905 TRNAU1AP NM_017846
906 TRNAU1AP NR_003109
907 SNHG12 NR_024127
908 SNORD99 NR_003077
909 SNORA61 NR_002987
910 SNORA44 NR_002976
911 SNORA16A NR_003035
912 RAB42 NM_152304
913 RAB42 NM_001193532
914 TAF12 NM_001135218
915 TAF12 NM_005644
916 RNU11 NR_004407
917 GMEB1 NM_024482
918 GMEB1 NM_006582
919 YTHDF2 NM_001173128
920 YTHDF2 NM_016258
921 YTHDF2 NM_001172828
922 OPRD1 NM_000911
923 EPB41 NM_001166007
924 EPB41 NM_004437
925 EPB41 NM_001166005
926 EPB41 NM_203343
927 EPB41 NM_203342
928 EPB41 NM_001166006
929 TMEM200B NM_001171868
930 TMEM200B NM_001003682
931 SRSF4 NM_005626
932 MECR NM_016011
933 MECR NM_001024732
934 PTPRU NM_005704
935 PTPRU NM_001195001
936 PTPRU NM_133178
937 PTPRU NM_133177
938 LOC101928460 NR_110758
939 LOC101929406 NR_110790
940 MATN1 NM_002379
941 MATN1-AS1 NR_034182
942 LAPTM5 NM_006762
943 MIR4420 NR_039616
944 SDC3 NM_014654
945 PUM1 NM_001020658
946 PUM1 NM_014676
947 SNORD103B NR_033295
948 SNORD103A NR_004054_1
949 SNORD103B NR_033295_1
950 SNORD103A NR_004054
951 SNORD85 NR_003066
952 NKAIN1 NM_024522
953 SNRNP40 NM_004814
954 ZCCHC17 NM_001282570
955 ZCCHC17 NM_016505
956 ZCCHC17 NM_001282572
957 ZCCHC17 NM_001282569
958 ZCCHC17 NM_001282571
959 ZCCHC17 NM_001282567
960 ZCCHC17 NM_001282574
961 ZCCHC17 NM_001282573
962 ZCCHC17 NM_001282568
963 ZCCHC17 NM_001282566
964 FABP3 NM_004102
965 SERINC2 NM_001199038
966 SERINC2 NM_001199037
967 SERINC2 NM_178865
968 SERINC2 NM_018565
969 SERINC2 NM_001199039
970 LINC01225 NR_034112
971 LINC01226 NR_027085
972 TINAGL1 NM_001204414
