counter txid length
204 NM_002222 10053
205 NM_002225 4665
206 NM_002224 9031
207 NM_002227 5053
208 NM_001166133 7217
209 NM_001004060 3922
210 NM_001004063 1076
211 NM_001004065 6963
212 NM_000337 9789
213 NM_001004067 4316
214 NM_007104 719
215 NM_001285450 2297
216 NM_001009955 3173
217 NM_001163561 891
218 NM_001079900_1 595
219 NM_018055 2086
220 NM_018054 3275
221 NM_001255988 1332
222 NM_001255989 1260
223 NM_018051 3772
224 NM_018050 2297
225 NM_018053 2158
226 NM_018052 3096
227 NM_001255982 1633
228 NR_033243 2859
229 NM_001255980 1757
230 NM_001255981 1543
231 NM_001255986 1404
232 NM_001255987 1332
233 NM_001255984 1561
234 NM_001255985 1595
235 NR_029379 1296
236 NR_029378 1431
237 NR_110481 1097
238 NR_077215 1890
239 NR_029374 1049
240 NR_029377 2390
241 NR_029376 3698
242 NR_029373 1679
243 NM_001122634 4781
244 NR_120546 2412
245 NR_120547 2070
246 NR_120544 3321
247 NR_120545 2911
248 NR_120542 3425
249 NR_120543 3282
250 NR_120540 2335
251 NR_120541 1568
252 NR_039764 61
253 NR_120548 1537
254 NR_120549 589
255 NM_001142352 1656
256 NM_001142353 3527
257 NM_001142350 1285
258 NM_001142351 6787
259 NM_001142356 1275
260 NM_001142354 3497
261 NM_001142355 1428
262 NR_045901 2353
263 NM_014910 7624
264 NM_014911 21265
265 NM_014912 5873
266 NM_014913 5387
267 NM_014914 10691
268 NM_014915 6779
269 NM_014916 8945
270 NM_014917 2932
271 NM_014918 4550
272 NM_001005332 2649
273 NM_001005333 2912
274 NM_001005336 3281
275 NM_001005337 5384
276 NR_028084_1 2043
277 NM_001005335 1881
278 NM_176801 4081
279 NM_001005338 942
280 NM_001005339 904
281 NM_176805 1402
282 NM_176806 3720
283 NM_003824 1853
284 NR_038416 2378
285 NM_001002814 7856
286 NM_001032409 1565
287 NM_001002812 4835
288 NM_001002810 1260
289 NM_001002811 5679
290 NM_001171624 3610
291 NM_001171625 3592
292 NM_001171626 3538
293 NM_001171627 3503
294 NM_001206972 10391
295 NM_001171622 3376
296 NM_001171623 3661
297 NM_001167915 1664
298 NM_001171628 3406
299 NM_001171629 3472
300 NM_001206979 2285
301 NM_001206978 2132
302 NM_001288649 5106
303 NM_001288648 5285
304 NM_001143883_1 785
305 NM_001167917 992
306 NM_182932 5250
307 NM_001143883_2 785
308 NM_001288643 5226
309 NM_001079653 3112
310 NM_001288640 4067
311 NM_001288647 5402
312 NM_001288646 5517
313 NM_001288645 5604
314 NM_001288644 5111
315 NM_001199056 2504
316 NM_001042365_1 1885
317 NM_001149 7203
318 NM_001148 14243
319 NM_004319 7333
320 NM_004318 5349
321 NM_001286555 3505
322 NM_001286554 8806
323 NM_001286556 1944
324 NM_001286559 2218
325 NM_001140 2684
326 NM_004311 3874
327 NM_004310 2102
328 NM_001145 1222
329 NM_004316 2484
330 NM_001147 5267
331 NM_001146 4338
332 NM_001201473 3582
333 NM_001201472 3783
334 NM_001201477 3671
335 NM_001201476 857
336 NM_001001547 2065
337 NM_001201474 1060
338 NM_001001549 4567
339 NM_001001548 4727
340 NM_001201479 3658
341 NM_001201478 1725
342 NM_182931 6863
343 NM_025029 933
344 NR_102409 3522
345 NM_001146327 2260
346 NM_001146326 2173
347 NR_102405 4358
348 NR_102404 4461
349 NR_073200 5058
350 NM_001146322 2596
351 NM_001146321 2977
352 NM_001146320 2822
353 NM_182936 2861
354 NM_024993 3623
355 NM_024991 5864
356 NM_024997 3665
357 NM_024996 3467
358 NR_106759 61
359 NM_001289115 1104
360 NM_022716 3999
361 NM_023033 1122
362 NM_001289110 1136
363 NM_001289111 3654
364 NM_001289112 3558
365 NM_001289113 1312
366 NR_024066 2045
367 NM_001284343 2700
368 NM_001284340 7187
369 NR_024065 2887
370 NR_024062 740
371 NM_001289119 2689
372 NR_024060 703
373 NR_024061 1538
374 NM_001287602 3894
375 NM_001287603 2772
376 NM_001287600 4280
377 NM_001287601 3241
378 NM_198881 2591
379 NM_198880 3255
380 NM_001287604 2747
381 NM_198882 8006
382 NM_198889 8622
383 NM_024032 2725
384 NM_014480 3510
385 NM_145274 2065
386 NM_001014437 2772
387 NM_145277 2029
388 NM_145270 2217
389 NM_145271 1827
390 NM_145272 1031
391 NM_145273 2786
392 NM_145278 3863
393 NM_145279 2804
394 NM_001184789 5761
395 NM_001184788 5872
396 NM_003498 3293
397 NM_001184783 1945
398 NM_001184782 3613
399 NM_001184781 4475
400 NM_001184780 2847
401 NM_001184787 5899
402 NM_001184786 5962
403 NM_001184785 6001
404 NM_024039 2535
405 NM_138477 4730
406 NM_001287758 6751
407 NM_003494 6890
408 NM_021828 4349
409 NM_001287759 6628
410 NM_021821 1897
411 NM_021822 1834
412 NM_021823 2219
413 NM_021824 1631
414 NM_021825 4018
415 NM_021826 2863
416 NM_021827 2511
417 NM_078468 1249
418 NM_078469 2350
419 NM_145858 1710
420 NM_145859 1287
421 NM_001142395 4493
422 NM_001242864 2018
423 NM_001100916 1663
424 NM_001100917 1020
425 NM_001100915 2911
426 NM_001100912 1907
427 NM_001100913 6694
428 NM_001100910 2374
429 NR_026576 642
430 NR_026575 2232
431 NR_033380_1 2915
432 NM_001289022 2979
433 NR_026578 578
434 NM_001286234 3588
435 NM_001286235 3886
436 NM_001286236 3427
437 NM_001286237 3481
438 NM_001286230 4471
439 NM_001286233 4342
440 NM_001286238 4960
441 NM_001286239 4966
442 NM_001289023 2764
443 NM_138731 6120
444 NM_018975 2178
445 NR_106750 109
446 NM_001291905_1 1735
447 NM_001204418 1662
448 NM_001204419 5679
449 NM_001204416 5790
450 NM_001204417 1716
451 NM_001204414 2144
452 NM_001204415 1845
453 NM_001204410 5582
454 NR_110886_1 1882
455 NR_110544 503
456 NR_110547 752
457 NR_110546 903
458 NR_110541 1152
459 NM_001105244 5600
460 NM_001105247 3615
461 NR_110542 422
462 NM_001105249 4742
463 NM_001105248 4916
464 NM_014488 9986
465 NR_049780 2033
466 NR_110549 2268
467 NR_110548 1082
468 NM_001289025 2815
469 NM_001145311 2893
470 NR_106756 67
471 NM_172246_1 1674
472 NM_001195017 2813
473 NM_001195016 2835
474 NR_027621 2588
475 NR_027620 602
476 NR_027622 6031
477 NR_027624 1737
478 NR_027626 1795
479 NM_020880 2964
480 NM_020883 5836
481 NM_001289939 4032
482 NM_020884 6584
483 NM_020886 4632
484 NM_020889 2957
485 NM_020888 5412
486 NM_001289930 4073
487 NM_001289931 3594
488 NM_001289936 4923
489 NM_001289937 4394
490 NM_001289934 2288
491 NM_001256877 5688
492 NM_181879 1081
493 NM_001287181 2020
494 NM_001287183 4765
495 NM_005113 2967
496 NM_181872 2167
497 NM_181873 2348
498 NM_181871 3025
499 NM_001287189 2192
500 NM_001287188 2200
501 NM_181874 4239
502 NM_033389 9214
503 NM_005899 4858
504 NM_005116 6944
505 NM_005117 2137
506 NM_005093 7737
507 NM_001256871 1593
508 NM_058187 1953
509 NM_058186 1384
510 NM_005115 2884
511 NM_005895 9252
512 NM_058181 1050
513 NM_058180 2999
514 NM_001198721 2556
515 NM_001198726 1528
516 NM_001267895 2106
517 NM_014619 5705
518 NM_030639 3986
519 NM_187841 1934
520 NM_030632 7642
521 NM_030631 3947
522 NM_030630 3342
523 NM_030637 12877
524 NM_030636 4687
525 NM_030634 4315
526 NM_001193511 3640
527 NM_021599 2047
528 NM_016816 1663
529 NM_006272 1135
530 NM_001270879 1191
531 NM_006273 815
532 NM_001270876 4461
533 NM_001270875 4788
534 NM_001270873 1512
535 NM_006270 983
536 NM_001193380 2775
537 NM_006274 684
538 NR_109903 381
539 NM_021046 1183
540 NR_104579 1567
541 NM_021044 1934
542 NM_021045 5167
543 NM_173518 5096
544 NM_173519 3492
545 NR_104578 639
546 NM_173514 2536
547 NM_173515 3228
548 NM_173516 1941
549 NM_173517 5896
550 NM_173510 3991
551 NM_173511 5773
552 NM_173512 1724
553 NM_021049 1664
554 NM_001286725 3967
555 NM_001286722 5149
556 NM_032428 7304
557 NM_001286723 2389
558 NM_201550 2598
559 NM_201551 3126
560 NM_201552 1376
561 NM_201553 1464
562 NM_201554 2640
563 NM_201555 1876
564 NM_201557 1696
565 NM_001199091 3634
566 NM_201559 7314
567 NM_001243936 1837
568 NM_001199092 2478
569 NM_001199097 4573
570 NM_001199096 4523
571 NR_024549 4012
572 NM_003379 3149
573 NM_175910 4731
574 NM_175911 1884
575 NM_021601 1144
576 NM_175914 4543
577 NM_003370 2290
578 NR_024540 1769
579 NM_175918 4443
580 NM_001193630 1207
581 NM_003374 1993
582 NM_003375 1767
583 NM_003376 3610
584 NM_003377 1805
585 NR_046769 430
586 NR_046768 588
587 NM_001042522 5074
588 NM_001042520 3991
589 NM_001042521 4003
590 NR_046762 1761
591 NR_046764 573
592 NM_001042529 2165
593 NM_001161531_1 1510
594 NM_145653_1 1877
595 NM_005193 855
596 NM_014685 1922
597 NM_198141 4586
598 NM_001277053 1974
599 NM_144668 3771
600 NM_144669 2721
601 NM_198147 3355
602 NM_198148 3724
603 NM_198149 1653
604 NM_144666 14864
605 NM_144660 7009
606 NM_144661 994
607 NM_144662 1829
608 NR_036679 1181
609 NM_052899 4208
610 NM_020319 2555
611 NM_020318 6920
612 NM_001197293 4638
613 NM_001197295 3224
614 NM_001197294 5480
615 NM_001197297 4743
616 NM_001197296 2655
617 NM_020311 2100
618 NM_020310 4842
619 NM_020313 2105
620 NM_020312 1689
621 NM_020315 2005
622 NM_020314 3894
623 NM_020317 1465
624 NM_032969 9148
625 NM_001113361 4887
626 NM_001113363 4153
627 NM_032968 9178
628 NR_073163 1937
629 NM_001291556 2200
630 NM_022780 6183
631 NM_130855 6018
632 NM_022781 5089
633 NM_201435 3216
634 NM_201434 1815
635 NM_002528 1067
636 NM_201433 8211
637 NM_001278444 3001
638 NM_001278445 3135
639 NM_001278442 1617
640 NM_032963 506
641 NM_001278441 1646
642 NM_005765 2036
643 NM_032962 554
644 NM_022786 1445
645 NM_001242328_1 1593
646 NM_032965 1080
647 NM_001242328_3 1593
648 NM_001242328_2 1593
649 NM_001242328_5 1593
650 NM_001242328_4 1593
651 NM_001242328_7 1593
652 NM_001242328_6 1593
653 NR_073534 3661
654 NM_022788 2303
655 NR_073536 1683
656 NR_073537 2395
657 NM_022789 1315
658 NM_001477_2 502
659 NR_002770 3454
660 NM_018217 1913
661 NM_018216 2642
662 NM_018215 3696
663 NM_018214 3180
664 NM_017671 5151
665 NM_018212 13109
666 NM_018211 4361
667 NM_018210 2738
668 NR_110418 811
669 NM_018219 2915
670 NM_018218 5617
671 NM_152357 4181
672 NR_110416 5151
673 NM_001267045 3764
674 NM_152355 4448
675 NM_001039481 910
676 NR_110413 2939
677 NM_005768 2297
678 NM_001291951 3327
679 NM_001291950 3262
680 NM_001291953 3576
681 NM_001291952 3413
682 NM_001291955 3187
683 NM_001291954 3162
684 NM_001256347 4579
685 NM_001256346 4933
686 NM_001291959 2384
687 NM_001256348 4523
688 NM_032567 1871
689 NR_110951 2059
690 NM_001261383 2235
691 NM_001261382 2359
692 NM_032563 610
693 NM_001261380 3183
694 NM_001271643 3298
695 NM_001271641 2316
696 NM_001271640 2679
697 NM_001271644 3066
698 NM_001271649 2415
699 NR_110802 5081
700 NM_138272_6 2400
701 NM_001199580 4000
702 NM_003173 2736
703 NM_033382 1829
704 NM_033380 6512
705 NM_033386 4495
706 NM_033387 3936
707 NM_012351 1089
708 NM_033388 2145
709 NM_012353 945
710 NM_001161748 858
711 NM_001168368 4309
712 NR_030586_1 91
713 NM_021100 2385
714 NM_004999 8662
715 NM_004998 5110
716 NM_001195103 3001
717 NM_001195102 3073
718 NM_001195101 3435
719 NM_001195100 3453
720 NM_001195107 3673
721 NM_001195106 3801
722 NR_002437 63
723 NR_002436 133
724 NR_002439 62
725 NM_032380 3249
726 NM_032383 4451
727 NM_001195108 3704
728 NM_032385 2997
729 NM_213611 1912
730 NM_032387 4178
731 NM_213613 3664
732 NM_177424 3079
733 NM_080474 1218
734 NM_080475 1918
735 NM_001128840 7663
736 NM_177422 3387
737 NM_177423 4062
738 NM_001168361 8214
739 NM_001789 3706
740 NM_001788 4348
741 NR_038263 574
742 NM_001783 1258
743 NM_001782 1548
744 NM_001781 1676
745 NM_001780 1032
746 NM_001787 3073
747 NM_001786 1913
748 NM_001785 959
749 NM_001784 3213
750 NM_174887 996
751 NM_174886 1672
752 NM_001129728 4567
753 NM_022169 3835
754 NM_174881 765
755 NM_001168364 956
756 NM_174889 719
757 NM_020786 7030
758 NR_102390_1 1478
759 NM_020787 4244
760 NM_001011885 3202
761 NM_206840 2851
762 NM_020784 4641
763 NM_002885 3334
764 NM_001206840 6424
765 NM_002884 5028
766 NR_045104 2461
767 NM_020782 6469
768 NR_045106 2622
769 NR_045107 2318
770 NR_045102 2541
771 NR_045103 2271
772 NM_004663 4929
773 NM_004662 3147
774 NM_004661 3155
775 NM_001017398 906
776 NM_004667 15340
777 NM_004666 3844
778 NM_025228 2268
779 NM_004664 1230
780 NM_001517_3 1716
781 NM_004669 813
782 NM_004668 6484
783 NM_025222 4292
784 NM_001017396 3902
785 NM_001017395 6085
786 NM_025221 2159
787 NM_000784 2293
788 NM_000785 2487
789 NM_000786 3208
790 NM_000787 2760
791 NM_000780 2875
792 NM_000781 1931
793 NM_000782 3266
794 NM_000783 2119
795 NM_000788 2605
796 NM_000789 4969
797 NM_016434 4955
798 NR_002433 79
799 NM_198207 2103
800 NR_102391 1478
801 NR_102390 1478
802 NM_198205 2310
803 NM_198204 2400
804 NM_001276459 2969
805 NM_016308 2930
806 NM_001276457 3005
807 NM_016306 1691
808 NM_016305 815
809 NM_016304 1473
810 NM_001276453 3947
811 NM_016302 2591
812 NM_001276451 955
813 NM_016300 3241
814 NM_015962 2405
815 NM_015963 2228
816 NM_015960 1368
817 NM_015966 1351
818 NM_015967 3648
819 NM_015964 1060
820 NM_015965 542
821 NM_015969 585
822 NM_153809 6216
823 NM_001008537 11717
824 NM_001015508 2690
825 NM_138448 1222
826 NM_138447 3554
827 NM_138446 755
828 NM_138445 1757
829 NM_138444 6237
830 NM_138443 1125
831 NM_001164181 12387
832 NM_138441 1802
833 NM_138440 2806
834 NM_001202469 1887
835 NM_000695 2650
836 NR_031598 69
837 NR_031599 92
838 NM_001202468 2406
839 NR_029515 80
840 NR_031595 75
841 NR_029517 81
842 NR_029516 75
843 NR_031590 91
844 NR_029510 80
845 NR_031592 81
846 NR_031593 97
847 NR_105010 784
848 NR_105013 300
849 NR_105012 407
850 NR_105015 539
851 NR_105014 1550
852 NM_007314 12227
853 NM_007315 4308
854 NR_105019 1109
855 NR_105018 1471
856 NM_007318 6078
857 NM_001253701 6907
858 NM_001164459 1219
859 NM_001164458 1281
860 NM_004712 2972
861 NR_075098 3352
862 NR_075091 3547
863 NR_075090 3138
864 NR_075093 3129
865 NR_075092 3439
866 NM_002926 6240
867 NM_002927 1562
868 NM_002924 2495
869 NM_002925 853
870 NM_002922 1403
871 NM_002923 1350
872 NM_002921 1475
873 NM_002928 2432
874 NM_002929 2098
875 NM_001122979 1898
876 NM_001080522 5240
877 NM_001080523 1638
878 NM_001080524 904
879 NM_001080525 440
880 NM_001080526 399
881 NM_001080527 6715
882 NM_001080528 702
883 NM_001080529 4184
884 NM_001202466 4239
885 NM_001201457 4946
886 NR_026778 5045
887 NR_026779 2824
888 NR_110427 3355
889 NR_026770 780
890 NR_026771 4260
891 NR_026772 1875
892 NR_026773 1650
893 NR_026774 642
894 NR_026775 977
895 NR_026776 941
896 NR_026777 8710
897 NM_001163151 6233
898 NM_001163150 6287
899 NM_001163152 6098
900 NM_001030287 1922
901 NM_001030288 6939
902 NM_181510 1269
903 NM_025241 1915
904 NM_001007214 2875
905 NM_001672 584
906 NM_001003789 2190
907 NM_001001323 6933
908 NM_001001325 294
909 NM_001001329 2443
910 NM_152447 3732
911 NM_152446 4457
912 NM_152445 3596
913 NM_152444 2594
914 NM_152443 1878
915 NM_152442 1885
916 NM_152441 2111
917 NM_152440 2600
918 NM_020433 4785
919 NM_152449 2912
920 NM_152448 1275
921 NM_001281932 4129
922 NM_001281933 5286
923 NR_104054 4382
924 NM_001171988 2072
925 NR_104050 1305
926 NR_104051 1468
927 NR_104058 751
928 NR_104059 372
929 NM_001257139 2407
930 NM_001257138 6259
931 NM_001257133 803
932 NM_001123375 457
933 NM_001257134 939
934 NM_001123377 903
935 NM_001123376 1085
936 NM_001256668 4826
937 NM_001267728 1938
938 NM_152999 6920
939 NM_152998 2591
940 NM_001204160 2684
941 NM_152995 3763
942 NM_152994 3143
943 NM_152997 565
944 NM_152996 3259
945 NM_001256666 4856
946 NM_001256667 4799
947 NM_152992 1322
948 NM_001161426 2151
949 NM_001127612 6880
950 NM_001077358 1869
951 NM_001127610 3377
952 NM_001127617 1612
953 NM_001127615 2658
954 NM_001077351 2604
955 NM_001040653 4815
956 NM_001040651 609
957 NM_001004744 975
958 NM_001098634 5141
959 NM_001098637 2309
960 NM_001004747 1023
961 NM_001004740 948
962 NM_001098630 2845
963 NM_001004742 1051
964 NM_001004743 933
965 NM_001004748 942
966 NM_001004749 939
967 NR_107057_1 65
968 NM_014008 2319
969 NM_006603 6002
970 NM_015140 3383
971 NM_015141 4062
972 NM_015143 2770
973 NM_015144 6911
974 NM_015146 4344
975 NM_015147 5862
976 NM_015148 4572
977 NM_015149 5113
978 NM_001004297 2078
979 NM_001004298 3080
980 NM_001178119 3641
981 NM_001178118 2216
982 NM_001005161 1124
983 NM_001005160 951
984 NM_001005167 942
985 NM_001005165 939
986 NM_001005164 978
987 NM_001178111 3490
988 NM_001178110 4149
989 NM_001005169 975
990 NM_001005168 954
991 NM_001178115 3230
992 NM_001178117 2665
993 NM_001178116 3689
994 NM_194439 2337
995 NR_030184_1 83
996 NM_194434 6859
997 NM_194435 1584
998 NM_194436 2003
999 NM_194431 1346
1000 NM_001282779 5340
1001 NM_001282778 2441
1002 NR_111004 3344
1003 NM_001282771 3438
1004 NM_001282770 3085
1005 NM_001282773 2363
1006 NM_001282772 5061
1007 NM_001282775 2522
1008 NM_001282774 4862
1009 NM_001282777 5503
1010 NM_001282776 4963
1011 NR_106977 56
1012 NR_106976 73
1013 NR_106975 57
1014 NR_106974 54
1015 NR_106972 94
1016 NM_015358 4246
1017 NR_106978 60
1018 NM_001258040 2186
1019 NM_001258041 2246
1020 NM_001258042 2126
1021 NR_027345 1597
1022 NM_021200 2380
1023 NM_021201 3008
1024 NM_021202 4124
1025 NM_021203 2827
1026 NM_021204 2191
1027 NM_021205 4372
1028 NM_001098844_1 5455
1029 NM_183401 4194
1030 NM_001099218 3589
1031 NM_001099219 318
1032 NR_024405 3554
1033 NR_037934 1120
1034 NM_017966 2692
1035 NM_001040172 1233
1036 NM_002229 1816
1037 NM_001167985 1221
1038 NM_001142679 3591
1039 NM_001142678 5955
1040 NR_024389 7638
1041 NR_024388 1391
1042 NR_024383 3359
1043 NM_203376 1332
1044 NM_001142673 5924
1045 NR_024380 6661
1046 NM_001142675 3538
1047 NM_001142674 3428
1048 NR_024385 1556
1049 NR_024384 3561
1050 NM_001286455 5683
1051 NM_001286456 1592
1052 NM_001286457 5281
1053 NM_001286451 926
1054 NM_001166135 2386
1055 NM_001281482 3517
1056 NM_001281483 3192
1057 NM_001286458 5456
1058 NM_002223 12568
1059 NM_001281484 3177
1060 NM_001001664 5734
1061 NM_001001665 4685
1062 NM_001001666 891
1063 NM_001001667 942
1064 NM_001001660 1135
1065 NM_001001661 3218
1066 NM_001001662 3313
1067 NM_001001663 507
1068 NM_001001668 7141
1069 NM_001001669 4865
1070 NM_001166131 2354
1071 NM_021048 2652
1072 NM_002226 5835
1073 NM_181472 1252
1074 NM_181471 1744
1075 NM_145331 5167
1076 NM_145330 411
1077 NM_145333 4970
1078 NM_001278580 5167
1079 NM_182925 5857
1080 NM_182924 3099
1081 NM_001278587 1140
1082 NM_002123 1640
1083 NM_004508 2136
1084 NM_004509 2505
1085 NM_004502 1366
1086 NM_004503 1681
1087 NM_004500 3212
1088 NM_004501 6789
1089 NM_004506 2697
1090 NM_004507 3017
1091 NM_004504 8666
1092 NM_001270533 1496
1093 NM_198439 4231
1094 NM_001199821 593
1095 NM_198433 2547
1096 NM_198434 2238
1097 NM_198435 2128
1098 NM_198436 2224
1099 NM_198437 2114
1100 NM_001040874_1 534
1101 NM_001286752 3550
1102 NM_001199828 655
1103 NM_138282_1 1449
1104 NM_001199829 1877
1105 NM_001005862 4872
1106 NM_001161500 4417
1107 NM_181291 2608
1108 NM_181296 493
1109 NR_029409 1000
1110 NM_001163560 1884
1111 NR_029408 1164
1112 NM_001159380 3002
1113 NM_001159387 1806
1114 NM_001159388 1819
1115 NM_004873 4868
1116 NM_001285486 1753
1117 NM_001285485 1489
1118 NM_001012644 1212
1119 NM_001186 5641
1120 NM_001012642 3292
1121 NR_033248 1000
1122 NM_018056 1818
1123 NM_001177800 4629
1124 NM_001177801 1078
1125 NM_001136026 1615
1126 NM_001136025 3325
1127 NM_001136024 8228
1128 NM_001136023 1682
1129 NM_001136022 5701
1130 NM_001136021 7447
1131 NM_001136020 2457
1132 NM_001173474_1 2085
1133 NM_001160408 2001
1134 NM_001136029 5382
1135 NM_001135789_1 785
1136 NR_033242 429
1137 NM_001135789_2 785
1138 NM_001024596 5419
1139 NM_001255983 1633
1140 NM_001024599 495
1141 NM_001024598 697
1142 NR_033240 1768
1143 NM_016212_1 1431
1144 NM_033147 2397
1145 NM_033140 4204
1146 NM_033141 11211
1147 NM_033142 880
1148 NM_033143 5285
1149 NM_018059 3670
1150 NM_033148 2307
1151 NM_001177704 4967
1152 NR_033244 1070
1153 NR_033245 1142
1154 NM_080678 2206
1155 NM_080670 2657
1156 NM_080671 3177
1157 NM_080672 2729
1158 NM_080675 1252
1159 NM_080676 4862
1160 NM_080677 1522
1161 NM_001160708 4120
1162 NM_001145951 552
1163 NM_001007156 4125
1164 NM_001277128 2360
1165 NM_001277129 3692
1166 NM_001257394 2392
1167 NM_001277120 4031
1168 NM_002872 1511
1169 NM_001110533 1702
1170 NM_001277127 2546
1171 NR_029375 1436
1172 NM_001257396 2032
1173 NM_001190441 624
1174 NM_001257391 976
1175 NM_147223 6951
1176 NM_001190442 4456
1177 NM_001190447 4379
1178 NM_002875 2299
1179 NM_001257393 2333
1180 NM_002877 1871
1181 NM_001135196 5286
1182 NM_001813 8612
1183 NM_001812 3349
1184 NM_130470 6005
1185 NM_130471 5770
1186 NM_130476 5860
1187 NM_001816 2303
1188 NM_130474 5640
1189 NM_130475 5970
1190 NM_001819 2650
1191 NM_001818 1192
1192 NM_001099410 5879
1193 NM_001248008 7196
1194 NM_001248005 7191
1195 NM_001248004 7267
1196 NM_001248007 2708
1197 NM_001248006 3045
1198 NM_001248001 2545
1199 NM_001248000 2621
1200 NM_001248003 7300
1201 NM_001248002 7369
1202 NM_001123392_2 2135
1203 NM_001123392_3 2135
1204 NM_001199664 794
1205 NM_001161009 2529
1206 NM_020928 5503
1207 NM_020929 2624
1208 NM_001164417_1 1329
1209 NM_020922 11343
1210 NM_020923 10306
1211 NM_020920 7475
1212 NM_020921 10293
1213 NM_020927 3766
